,Detail_Short,Floor Size (in sqft),Last_Sold_Date,Last_Sold_Price,Locality,Lot_size,Number of Rooms,Postal_Code,Region,Street,Title,Type,Year_build
123,"9 Tucker Way # B, Pennington, NJ 08534-3114 is currently not for sale. The vacant lot last sold on 12/27/2019 for $174,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.","2,488",12/27/19,"$174,000",Pennington,,3.0,8534,NJ,14 Tucker Way,"9 Tucker Way #B, Pennington, NJ 08534 | Zillow",VacantLand,No Data
124,"Route 31 N , Pennington, NJ 08534 is currently not for sale. The vacant lot last sold on 12/27/2019 for $3,500,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.",,12/27/19,"$3,500,000",Hopewell Twp,,,8534,NJ,127 Route 31,"Route 31 N, Pennington, NJ 08534 | Zillow",VacantLand,No Data
125,"160 Penn Harbourton Rd , Pennington, NJ 08534 is currently not for sale. The vacant lot last sold on 12/27/2019 for $3,500,000, with a recorded lot size of acres ( sq. ft.). View more property details, sales history and Zestimate data on Zillow.","1,662",12/27/19,"$3,500,000",Pennington,,,8534,NJ,158 Penn Harbourton Rd,"160 Penn Harbourton Rd, Pennington, NJ 08534 | Zillow",VacantLand,No Data
126,"5 Avalon Rd , Pennington, NJ 08534-5160 is currently not for sale. The 2,600 sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1997 and last sold on 11/18/2019 for $540,000. View more property details, sales history and Zestimate data on Zillow.","2,464",11/18/19,"$540,000",Pennington,0.40 Acres,,8534,NJ,3 Avalon Rd,"5 Avalon Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1997
127,"106 Treymore Ct , Pennington, NJ 08534-1946 is currently not for sale. The 1,908 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1994 and last sold on 11/18/2019 for $342,000. View more property details, sales history and Zestimate data on Zillow.","1,908",11/18/19,"$342,000",Pennington,No Data,3.0,8534,NJ,104 Treymore Ct,"106 Treymore Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
128,"12 W Franklin Ave , Pennington, NJ 08534-2211 is currently not for sale. The 2,508 sq. ft. single-family home is a 4 bed, 2.0 bath property. This home was built in 1875 and last sold on 11/15/2019 for $301,000. View more property details, sales history and Zestimate data on Zillow.","2,476",11/15/19,"$301,000",Pennington,"6,098 sqft",4.0,8534,NJ,14 W Franklin Ave,"12 W Franklin Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1875
129,"5 Wyckoff Dr , Pennington, NJ 08534-5406 is currently not for sale. The sq. ft. single-family home is a 4 bed, 3.0 bath property. This home was built in 1993 and last sold on 11/15/2019 for $625,000. View more property details, sales history and Zestimate data on Zillow.","2,462",11/15/19,"$625,000",Pennington,0.35 Acres,4.0,8534,NJ,3 Wyckoff Dr,"5 Wyckoff Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,1993
130,"134 Shrewsbury Ct , Pennington, NJ 08534-1910 is a townhouse listed for rent at $2,700/mo. The 1,904 sq. ft. townhouse is a 3 bed, 3.0 bath unit. Find 15 photos of the 134 Shrewsbury Ct townhouse on Zillow. View more property details, sales history and Zestimate data on Zillow.","1,904",,,Pennington,,3.0,8534,NJ,134 Shrewsbury Ct,"134 Shrewsbury Ct, Pennington, NJ 08534 | Zillow",Townhouse,
131,"12 Old Mill Rd , Pennington, NJ 08534-2127 is currently not for sale. The sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1965 and last sold on 11/13/2019 for $434,000. View more property details, sales history and Zestimate data on Zillow.",,11/13/19,"$434,000",Pennington,1.69 Acres,,8534,NJ,12 Old Mill Rd,"12 Old Mill Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1965
132,"125 Voorhees Ave , Pennington, NJ 08534-2738 is currently not for sale. The 1,344 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1920 and last sold on 11/12/2019 for $395,000. View more property details, sales history and Zestimate data on Zillow.","2,379",11/12/19,"$395,000",Pennington,0.32 Acres,,8534,NJ,123 Voorhees Ave,"125 Voorhees Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,1920
